Date,Close,High,Low,Open,Volume,EMA_Short,EMA_Long,Signal,Signal_Type
2023-05-01,26.966886520385746,27.396415429879667,26.752122956138354,27.05092474656936,4415300,26.966886520385746,26.966886520385746,0,Hold
2023-05-02,25.53824043273925,26.640073379136656,25.31413908820068,26.574708928605297,9776600,26.830824988228937,26.910861183615292,-1,Sell
2023-05-03,25.640953063964844,26.042468650640053,25.0340116850136,25.248777037164924,9051400,26.717503852584734,26.86106086519763,0,Hold
2023-05-04,25.416852951049805,25.92108234890497,25.34215249740452,25.65029209131624,8291500,26.593632338152837,26.804425260721246,0,Hold
2023-05-05,26.350605010986328,26.54669478143432,25.865053035732103,26.219879684687,7325700,26.570486878422695,26.786628388182624,0,Hold
2023-05-08,26.24789428710937,26.92953606577235,26.13584272986385,26.733446285842447,4671900,26.53976377448809,26.765501560689557,0,Hold
2023-05-09,26.32259750366211,26.649412650629746,25.837043672795865,26.00512013586489,5517800,26.51908127250466,26.748132774139464,0,Hold
2023-05-10,26.042469024658203,26.53736062620252,25.83704322943187,26.500009510161785,8941000,26.47368962985262,26.720459685924514,0,Hold
2023-05-11,25.54758071899414,25.706319409581432,25.276790454639617,25.54758071899414,7293800,26.385488781199427,26.674464432319404,0,Hold
2023-05-12,25.82770347595215,26.15451859232736,25.7249896956916,25.809027919359487,5890000,26.332366371175876,26.641258120305004,0,Hold
2023-05-15,26.042469024658203,26.33193483097619,25.958430794565786,26.07048236168876,5758900,26.304757100078955,26.617776194985524,0,Hold
2023-05-16,25.622276306152344,26.04246562069298,25.51956253146509,25.96776517937471,8662400,26.239758929228802,26.578736983658732,0,Hold
2023-05-17,25.659629821777344,26.061145427230805,25.50089113545852,25.80903072878338,10364600,26.18450853804295,26.542693565545736,0,Hold
2023-05-18,26.31326103210449,26.38796148818076,25.379504440651523,25.52890535280405,7945400,26.196770680334527,26.53369621129314,0,Hold
2023-05-19,26.303918838500977,26.71477216847624,26.229218394959936,26.686758834273697,5928100,26.20697526682657,26.52468533392874,0,Hold
2023-05-22,26.49067687988281,26.69610270122472,26.16386169697566,26.378625298514844,4606900,26.233994468070023,26.523351669064194,0,Hold
2023-05-23,26.51868057250977,26.84549565846477,26.285241479827462,26.742781887764902,4124700,26.26110743039762,26.52316848880716,0,Hold
2023-05-24,26.81748962402344,27.12562923897812,26.369286871543803,26.584050467815366,5064300,26.314096210742935,26.53471049410976,0,Hold
2023-05-25,26.14518165588379,26.415971892199323,25.85571764337341,26.17319499167479,5490900,26.29800911028016,26.519434853395015,0,Hold
2023-05-26,26.22039222717285,26.44602464993603,25.96655687229371,26.27680167773897,4485900,26.2906170261747,26.507707691582382,0,Hold
2023-05-30,26.13578224182129,26.2109930563078,25.4682864873994,25.50589099805902,6324500,26.275870856236278,26.493122379827046,0,Hold
2023-05-31,25.61870574951172,25.98535821211328,25.34606545145726,25.797332089851984,17917300,26.21328370321489,26.458831531579385,0,Hold
2023-06-01,26.897289276123047,27.047710880043667,25.562296196452305,25.6187038496308,7824600,26.278427091110906,26.47602595293404,0,Hold
2023-06-02,27.80922508239746,28.08186540541308,27.21694014295636,27.555387911279592,6115000,26.42421737599534,26.52830827173653,0,Hold
2023-06-05,27.893836975097656,28.22288495476851,27.414367369263083,28.20408180320624,5330300,26.564181147338417,26.58185841696638,0,Hold
2023-06-06,28.75875663757324,28.88097351266074,27.40496047182085,27.40496047182085,7652900,26.77318833688459,26.667226974637238,1,Buy
2023-06-07,28.80576515197754,29.238228624694106,28.749357496637824,28.824568301479783,7931500,26.966767081179157,26.75109121688588,0,Hold
2023-06-08,28.47671890258789,28.97498981049714,28.34509864969646,28.87157428176109,6334300,27.110572016551416,26.81876289083498,0,Hold
2023-06-09,28.21348190307617,28.70235305911792,28.110066368060803,28.56133122294528,5395300,27.215611053363297,26.873457754060123,0,Hold
2023-06-12,28.00665283203125,28.40150823808158,27.62119541500504,27.71520937542199,7995800,27.29094836561739,26.91789677672566,0,Hold
2023-06-13,28.363903045654297,29.1818221504356,28.33569832025939,28.645943126934963,6964800,27.393134525620905,26.97460290491894,0,Hold
2023-06-14,28.14767074584961,28.880975636637384,27.82802438052319,28.63654007531912,6991200,27.464995118023637,27.020605565347594,0,Hold
2023-06-15,28.4297103881836,28.645941222333228,28.13826875114857,28.13826875114857,7899400,27.556872762800776,27.07586457800783,0,Hold
2023-06-16,28.73995780944824,28.927985730485823,28.43911457032183,28.570733039147846,12506500,27.66954752914815,27.14112313610353,0,Hold
2023-06-20,28.01605224609375,28.570732632781443,27.53658446128505,28.50492339930445,5879800,27.702547978381062,27.17543408159334,0,Hold
2023-06-21,28.66474723815918,28.98439363068226,27.743414362377205,27.79982202189093,7810700,27.794186003121837,27.233838519105728,0,Hold
2023-06-22,28.3450984954834,28.645941712169293,28.044255278797504,28.44851402365681,4154400,27.846653859537223,27.277417341708777,0,Hold
2023-06-23,27.98784828186035,28.072460662688087,27.46137084711732,27.903235901032616,7952900,27.86010094737752,27.305277378577465,0,Hold
2023-06-26,28.702354431152344,28.984394530645485,27.89383684929342,27.950244510558605,5417100,27.940315564879885,27.36006471397256,0,Hold
2023-06-27,29.116012573242188,29.27583577209813,28.47672157098561,28.551932382613867,6083600,28.052286708533437,27.428925414336074,0,Hold
2023-06-28,29.26643180847168,29.586078180101666,28.77756246936145,29.144214921985885,5793700,28.16791957519422,27.500984488615906,0,Hold
2023-06-29,29.482666015625,29.492067590958698,28.824570087603423,29.294638095285364,6863000,28.29313352190191,27.57869748967509,0,Hold
2023-06-30,29.717702865600582,30.027947708656868,29.520273351018965,29.77411052983792,6827900,28.428806792730356,27.662580053436873,0,Hold
2023-07-03,29.708295822143555,29.896321932721275,29.332241807821127,29.73649875248837,2951200,28.550662890769708,27.74280420122929,0,Hold
2023-07-05,29.651891708374023,29.915128653243624,29.210026619770563,29.8587209926526,5493800,28.655541825779643,27.817670377980065,0,Hold
2023-07-06,29.708295822143555,29.76470347600017,29.172418627588225,29.37924788717381,7177900,28.755804111147633,27.891812552260987,0,Hold
2023-07-07,31.12790298461914,31.250121666636403,29.492066588660503,29.501466370507604,10408800,28.98171828957349,28.018718059412286,0,Hold
