Date,Close,High,Low,Open,Volume,EMA_Short,EMA_Long,Signal,Signal_Type
2023-05-01,133.39999389648438,134.52999877929688,130.7100067138672,132.0,2748500,133.39999389648438,133.39999389648438,0,Hold
2023-05-02,131.39999389648438,135.55999755859375,130.5399932861328,133.50999450683594,3247600,133.2095177060082,133.32156252393534,-1,Sell
2023-05-03,130.13999938964844,132.8800048828125,129.85000610351562,130.52000427246094,3322100,132.91718262825964,133.1967953421986,0,Hold
2023-05-04,134.3300018310547,138.22000122070312,129.75,133.92999267578125,5504800,133.05173683804964,133.24123481234983,0,Hold
2023-05-05,137.0399932861328,138.17999267578125,132.13999938964844,134.64999389648438,3378100,133.43157078548614,133.39020573289034,1,Buy
2023-05-08,131.75,137.1300048828125,131.1999969482422,136.24000549316406,3990700,133.27142118686842,133.32588393944366,-1,Sell
2023-05-09,133.77000427246094,133.8800048828125,130.91000366210938,131.47999572753906,2560400,133.3189052902582,133.3433004230914,0,Hold
2023-05-10,130.8300018310547,135.3300018310547,130.3699951171875,134.55999755859375,2842800,133.08186686557215,133.24473969399193,0,Hold
2023-05-11,128.41000366210938,131.39999389648438,126.5500030517578,130.97000122070312,2868700,132.6369275128614,133.05514220254557,0,Hold
2023-05-12,129.3000030517578,131.05999755859375,128.0500030517578,128.5,1895300,132.31912518323247,132.90788184369114,0,Hold
2023-05-15,130.25999450683594,130.75,126.4980010986328,128.6999969482422,2279300,132.12301749976612,132.8040431245988,0,Hold
2023-05-16,125.11000061035156,129.5,124.25,129.3699951171875,3686600,131.45511112934568,132.50231596717734,0,Hold
2023-05-17,125.56999969482422,126.98999786376952,122.55999755859376,124.25,2574400,130.89462432605794,132.23046042708506,0,Hold
2023-05-18,125.33000183105467,126.01000213623048,122.98999786376952,125.91999816894533,3008900,130.36466027891476,131.9598542076329,0,Hold
2023-05-19,126.23999786376952,126.87999725341795,124.58000183105467,126.18000030517578,2603600,129.97183528699617,131.7355461157167,0,Hold
2023-05-22,126.73999786376952,127.83000183105467,125.69000244140624,126.25,1682900,129.66404124668887,131.53964226269915,0,Hold
2023-05-23,137.75,139.91000366210938,125.5999984741211,126.48999786376952,7730500,130.43413255652803,131.78318570337763,0,Hold
2023-05-24,131.58999633789062,142.7899932861328,130.33999633789062,141.19000244140625,5320900,130.5442148214197,131.7756096498291,0,Hold
2023-05-25,126.47000122070312,130.16000366210938,125.8000030517578,130.0,4234900,130.1561944784943,131.56754657417713,0,Hold
2023-05-26,126.23999786376952,128.49000549316406,124.25,128.49000549316406,3640800,129.78322337233004,131.3586230953376,0,Hold
2023-05-30,128.88999938964844,129.24000549316406,124.2300033569336,126.47000122070312,2618500,129.69815442159847,131.26181432256547,0,Hold
2023-05-31,127.70999908447266,130.4499969482422,125.16000366210938,128.8800048828125,3929500,129.50880629425316,131.1225274504834,0,Hold
2023-06-01,128.52000427246094,129.08999633789062,125.5,128.44000244140625,1942200,129.41463467313008,131.02046771801193,0,Hold
2023-06-02,130.50999450683594,131.64999389648438,128.82000732421875,129.75,2357500,129.51895465729254,131.0004491607109,0,Hold
2023-06-05,128.89999389648438,134.5850067138672,128.83999633789062,131.0,3206100,129.46000601340606,130.91807836603536,0,Hold
2023-06-06,126.9000015258789,129.14999389648438,124.75,129.0,2491400,129.216196062213,130.7605067252449,0,Hold
2023-06-07,125.61000061035156,127.08999633789062,125.3000030517578,126.58999633789062,3161400,128.87274887632142,130.55852609328832,0,Hold
2023-06-08,124.94000244140624,125.41000366210938,122.27999877929688,125.41000366210938,2496600,128.4982015968057,130.3381918324302,0,Hold
2023-06-09,123.26000213623048,125.6259994506836,122.8000030517578,124.6999969482422,2201900,127.99932545770329,130.06061576591256,0,Hold
2023-06-12,123.5199966430664,123.87999725341795,121.5530014038086,123.36000061035156,2979100,127.57272271345217,129.80412089834996,0,Hold
2023-06-13,127.9800033569336,128.83999633789062,122.9000015258789,123.25,3328100,127.61151134616468,129.73258687711797,0,Hold
2023-06-14,126.0500030517578,128.6199951171875,124.61000061035156,128.0800018310547,2980200,127.46279627050689,129.58817182514306,0,Hold
2023-06-15,129.97999572753906,130.19000244140625,125.08000183105467,126.0,3027800,127.702529552129,129.60353746837427,0,Hold
2023-06-16,128.72999572753906,133.1649932861328,126.9800033569336,130.9499969482422,5499600,127.80038347359661,129.569280929518,0,Hold
2023-06-20,124.2300033569336,128.1999969482422,124.05999755859376,127.8000030517578,2989700,127.46034727200967,129.35989749529898,0,Hold
2023-06-21,121.06999969482422,124.16000366210938,121.0,123.5,2908100,126.85174274084915,129.03480346390782,0,Hold
2023-06-22,120.4800033569336,121.31999969482422,118.44000244140624,121.0,3264800,126.24491041857148,128.69932110677158,0,Hold
2023-06-23,118.5,120.12000274658205,117.22699737548828,119.6999969482422,3284400,125.50729990251705,128.29934773003544,0,Hold
2023-06-26,120.41000366210938,122.9499969482422,119.20800018310548,121.1999969482422,3466100,125.02184311771632,127.98996168815599,0,Hold
2023-06-27,120.66999816894533,120.88999938964844,118.51000213623048,120.4499969482422,2375300,124.60738169402384,127.70290429524576,0,Hold
2023-06-28,123.0,123.2249984741211,119.16000366210938,121.19000244140624,2534300,124.45429772316443,127.51847667582436,0,Hold
2023-06-29,122.11000061035156,122.97799682617188,121.3000030517578,122.5,1886100,124.23103133146796,127.30637957521758,0,Hold
2023-06-30,121.5,123.61000061035156,121.5,123.1500015258789,2405300,123.97093310942338,127.07867841540512,0,Hold
2023-07-03,121.7300033569336,122.94000244140624,120.12000274658205,121.75,1782000,123.75751122823388,126.8689264523278,0,Hold
2023-07-05,123.54000091552734,128.97999572753906,122.51000213623048,122.88999938964844,5001200,123.73679596035707,126.73838035284543,0,Hold
2023-07-06,118.29000091552734,123.2699966430664,117.11000061035156,122.51000213623048,4849400,123.2180535751352,126.40707135530354,0,Hold
2023-07-07,118.87000274658205,120.13999938964844,117.81500244140624,118.01000213623048,2436900,122.80395349622538,126.11150003731446,0,Hold
2023-07-10,123.08999633789062,123.5999984741211,118.63999938964844,118.87000274658205,3401800,122.83119567162207,125.99300969616058,0,Hold
2023-07-11,122.12999725341795,124.5,121.20500183105467,123.44000244140624,2127300,122.76441486988834,125.84151901213146,0,Hold
2023-07-12,125.91999816894533,127.37999725341795,123.5500030517578,124.45999908447266,2968600,123.06494661265567,125.84459662612416,0,Hold
