Date,Close,High,Low,Open,Volume,EMA_Short,EMA_Long,Signal,Signal_Type
2023-05-01,67.05223083496094,67.2572561756176,65.73821577628088,66.91244729364765,2665700,67.05223083496094,67.05223083496094,0,Hold
2023-05-02,69.01860046386719,69.67095447223133,64.59194149802,67.35044812668956,5104900,67.239504132952,67.12934336942786,1,Buy
2023-05-03,68.82288360595703,70.9849563515468,68.81356233484229,70.11826299908795,2806200,67.39030217800011,67.19575671203685,0,Hold
2023-05-04,65.30020141601562,68.93472241318743,64.97402800435663,68.45943709331455,2973100,67.19124496257302,67.1214212102321,0,Hold
2023-05-05,64.89949035644531,66.45580900967117,64.11667394765475,66.45580900967117,3319400,66.9729826191323,67.03428666694634,-1,Sell
2023-05-08,62.97970199584961,66.57694499018211,62.75603413513207,66.07370296863824,2918500,66.59267017881966,66.87528334651117,0,Hold
2023-05-09,63.17540740966797,63.445667414686206,61.74023726752659,62.504418033077485,3053000,66.2672165817576,66.73019017251733,0,Hold
2023-05-10,63.17540740966797,64.3869096862477,62.08505322773204,64.28440413542431,2303100,65.97275856536811,66.5907869269154,0,Hold
2023-05-11,62.6069221496582,62.7653482002744,59.46632584399421,59.969564252733925,4541000,65.65220271625289,66.43455693565042,0,Hold
2023-05-12,62.372554779052734,63.450692979638376,61.53817124226173,63.00068491975868,1975200,65.3398552936624,66.2752627334309,0,Hold
2023-05-15,63.08506774902344,63.46007329243933,62.30693249814672,62.813188908862806,3148100,65.1251136227444,66.15015704776788,0,Hold
2023-05-16,60.87253952026367,63.04756296776748,60.83503825274727,62.51318242277063,2673400,64.72010656536527,65.94319165453243,0,Hold
2023-05-17,60.11315536499024,61.25691177729848,59.65377380284034,60.36627996663479,3773300,64.28134930818669,65.71456278043274,0,Hold
2023-05-18,61.603790283203125,61.69753986643591,59.48501894581284,60.61003182619308,2600800,64.02634368675969,65.5533560158355,0,Hold
2023-05-19,62.08192825317383,63.10381096531113,61.847550696888895,61.988178661186936,2543800,63.84116126451342,65.41722159377034,0,Hold
2023-05-22,62.85068130493164,63.43194017279338,61.14441311829181,62.33504786145471,2321200,63.746829839791346,65.31657295499235,0,Hold
2023-05-23,63.2725715637207,63.48820209153392,61.6600526161531,62.50381336227992,1894200,63.701662384927474,65.23641603768758,0,Hold
2023-05-24,61.65067672729492,63.61006973828656,61.50067165236422,63.50694303743062,1619400,63.506330417533896,65.09579880982905,0,Hold
2023-05-25,59.869407653808594,61.53817482453317,59.85065701886228,60.94754591715502,1984600,63.15995682098863,64.89084229390667,0,Hold
2023-05-26,58.92251586914063,60.61941423034553,58.64126351853463,60.29127993138946,2167700,62.75639101605073,64.65679027724919,0,Hold
2023-05-30,58.135009765625,58.660016799752455,56.66311894057817,58.40688859988661,3242000,62.31625946839113,64.40103417875412,0,Hold
2023-05-31,57.66625213623047,58.66939136319281,56.8224950828855,57.69437987476434,5287600,61.873401627232965,64.1369250790473,0,Hold
2023-06-01,56.475624084472656,58.125640698461936,56.32562257411,58.125640698461936,3296300,61.359327575541506,63.83648190278947,0,Hold
2023-06-02,58.9787712097168,59.691277444563326,57.13187482503191,57.35687886443064,2780200,61.13260792165344,63.64598344423761,0,Hold
2023-06-05,59.869407653808594,61.12566800835016,59.597528811563954,59.822532854601775,2195100,61.012303134239644,63.497882432848236,0,Hold
